Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
Enkindle Limited (United Kingdom),Worldremit Group Limited (United Kingdom),enkindle united,worldremit group,0.75,"kingdom, limited, united",0,,0,,True,8.3543,kingdom limited,False
"Sunrun Atlas Holdings 2019-2, LLC","Sunrun Xanadu Issuer 2019-1, LLC",sunrun atlas,sunrun xanadu,0.667,"2019, sunrun",1,ARCC,1,Ares Capital Management,True,487.2,2019 sunrun,False
Optimizely North America Inc.,"Tufin Software North America, Inc.",optimizely north,tufin software,0.667,"america, north",1,CGBD,1,Carlyle Investment Management,False,173.66,america north,False
Cority Software Inc. (Canada),Prophix Software Inc. (Canada),cority software,prophix software,0.667,"canada, software",1,CGBD,1,Carlyle Investment Management,True,83.667,canada software,False
Dance Midco S.a.r.l. (United Kingdom),Hadrian Acquisition Limited (United Kingdom),dance united,hadrian united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,75.107,kingdom united,False
"North Haven Fairway Buyer, LLC","North Haven Goldfinch Topco, LLC",north haven fairway,north haven goldfinch,0.667,"haven, north",1,CGBD,1,Carlyle Investment Management,False,52.465,haven north,False
ResearchGate GmBH (Germany),SellerX Germany GmbH (Germany),researchgate germany,sellerx germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,44.4268,germany gmbh,True
Big Bus Tours Group Limited (United Kingdom),Dance Midco S.a.r.l. (United Kingdom),big bus,dance united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,44.304,kingdom united,False
"North Haven Falcon Buyer, LLC","North Haven Stack Buyer, LLC",north haven falcon,north haven stack,0.667,"haven, north",1,GBDC,1,GC Advisors,False,42.755,haven north,False
CWC Fund I Co-Invest (ALTI) LP,"Merit Financial Group, LLC and CWC Fund I Co-Invest LP",cwc fund,merit financial,0.667,"cwc, invest",1,ARCC,1,Ares Capital Management,False,39.6,cwc invest,False
Razor Group GmbH (Germany),SellerX Germany GmbH (Germany),razor group,sellerx germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,36.9887,germany gmbh,False
ResearchGate GmBH (Germany),SellerX Germany GMBH & Co. KG (Germany),researchgate germany,sellerx germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,32.7947,germany gmbh,True
Pineapple German Bidco GMBH,Varinem German Midco GMBH,pineapple german,varinem german,0.667,"german, gmbh",1,GBDC,1,GC Advisors,False,32.162,german gmbh,False
Dance Midco S.a.r.l. (United Kingdom),Orthrus Limited (United Kingdom),dance united,orthrus united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,28.333,kingdom united,False
Dance Midco S.a.r.l. (United Kingdom),PAM Bidco Limited (United Kingdom),dance united,pam united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,28.225,kingdom united,False
Dance Midco S.a.r.l. (United Kingdom),Vienna Bidco Limited (United Kingdom),dance united,vienna united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,26.58,kingdom united,False
Razor Group GmbH (Germany),SellerX Germany GMBH & Co. KG (Germany),razor group,sellerx germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.3566,germany gmbh,False
