Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
Keystone Agency Partners LLC,Oakbridge Insurance Agency LLC,keystone agency,oakbridge insurance,0.5,agency,0,,0,,True,49.56,agency,False
Aurora Lux FinCo S.Á.R.L. (Luxembourg),Bond Lux HoldCo S.à r.l.,aurora lux,bond lux,0.5,lux,0,,0,,True,43.93,lux,False
"Legacy Service Partners, LLC","Seacoast Service Partners NA, LLC",legacy service,seacoast service,0.5,service,0,,0,,True,42.448,service,False
Rotten Rock Hardscaping & Tree Service,"Seacoast Service Partners NA, LLC",rotten rock,seacoast service,0.5,service,0,,0,,True,39.984,service,False
"BDG Media, Inc.","Terraboost Media Operating Company, LLC",bdg media,terraboost media,0.5,media,0,,0,,True,39.8695,media,False
"Capstone Logistics Acquisition, Inc.",HTI Logistics Corporation,capstone logistics,hti logistics,0.5,logistics,0,,0,,True,34.051,logistics,False
"ABC Legal Holdings, LLC",ABC Plumbing,abc legal,abc plumbing,0.5,abc,0,,0,,True,24.554,abc,False
"Callodine Commercial Finance, LLC","First American Commercial Bancorp, Inc.",callodine commercial,first american commercial,0.5,commercial,0,,0,,True,24.4578,commercial,False
Global Critical Logistics,"SEKO Global Logistics Network, LLC",global critical logistics,seko global,0.5,logistics,0,,0,,True,18.64,logistics,False
Galileo Pharma Bidco S.p.A,"Verona Pharma, Inc.",galileo pharma,verona pharma,0.5,pharma,0,,0,,True,15.155,pharma,False
"Alvogen Pharma US, Inc.",Galileo Pharma Bidco S.p.A,alvogen pharma,galileo pharma,0.5,pharma,0,,0,,True,15.039,pharma,False
"BDG Media, Inc.","Tower Arch Infolinks Media, LP",bdg media,infolinks media,0.5,media,0,,0,,True,14.592,media,True
"Compex Legal Services, Inc.","U.S. Legal Support Investment Holdings, LLC",compex legal,us legal support,0.5,legal,0,,0,,True,14.375,legal,False
