Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
Concert Golf Partners Holdco LLC,concert golf,3,GREEN,0,1,1,1,Concert Golf Partners Holdco LLC,BCSF,Bain Capital Credit,Non-Controlled/Non-Affiliate Investments,11.029,11.134,-0.0094,4/1/2030,4.5,,False,,False,,2025-09-30,2025-09-30,1
"Stretto, Inc.",stretto,3,GREEN,0,1,1,1,"Stretto, Inc.",MFIC,"Apollo Investment Management, L.P.",Stretto,10.911,10.95,-0.0036,10/13/28,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Smith Topco, Inc.",smith,3,GREEN,0,1,1,1,"Smith Topco, Inc.",MFIC,"Apollo Investment Management, L.P.",Smith System,10.904,11.067,-0.0147,11/06/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Pavement Preservation Acquisition, LLC",pavement preservation,3,GREEN,0,1,1,1,"Pavement Preservation Acquisition, LLC",MFIC,"Apollo Investment Management, L.P.",Pavement Preservation,10.848,11.042,-0.0176,08/09/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Amylu Borrower Sub, LLC",amylu sub,3,GREEN,0,1,1,1,"Amylu Borrower Sub, LLC",MFIC,"Apollo Investment Management, L.P.",Amylu Foods,10.805,10.91,-0.0096,06/10/31,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Overhaul Group, Inc.",overhaul group,3,GREEN,0,1,1,1,"Overhaul Group, Inc.",MFIC,"Apollo Investment Management, L.P.",Jacent,10.664,10.714,-0.0047,08/01/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Lunar Buyer, LLC",lunar,3,GREEN,0,1,1,1,"Lunar Buyer, LLC",MFIC,"Apollo Investment Management, L.P.",Meristem Crop Performance,10.511,10.727,-0.0201,10/03/30,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Arnott, LLC",arnott,3,GREEN,0,1,1,1,"Arnott, LLC",GBDC,GC Advisors,Auto Components,10.41,10.615,-0.0193,12/2024,,,False,,False,,2025-09-30,2025-12-31,2
Eleven Software,eleven software,3,GREEN,0,1,1,1,Eleven Software,BCSF,Bain Capital Credit,High Tech Industries,10.343,9.932,0.0414,9/25/2026,8.02,,False,,False,,2025-09-30,2025-09-30,1
"Uplight, Inc.",uplight,3,GREEN,0,1,1,1,"Uplight, Inc.",MFIC,"Apollo Investment Management, L.P.",Uplight,10.225,10.3,-0.0073,06/01/29,4.0,,False,,False,,2025-12-31,2025-12-31,1
LendingPoint 2018-1 Funding Trust,lendingpoint funding,3,GREEN,0,1,1,1,LendingPoint 2018-1 Funding Trust,MFIC,"Apollo Investment Management, L.P.",Lending Point,10.191,10.16,0.0031,12/31/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
"CSHC Buyerco, LLC",cshc buyerco,3,GREEN,0,1,1,1,"CSHC Buyerco, LLC",MFIC,"Apollo Investment Management, L.P.",Capsa Healthcare,10.184,10.249,-0.0063,09/08/26,1.0,,False,,False,,2025-12-31,2025-12-31,1
"NP Riverhead Industrial, LLC",np riverhead,3,GREEN,0,1,1,1,"NP Riverhead Industrial, LLC",PNNT,PennantPark Investment Advisers,Buildings and Real Estate,10.019,10.0,0.0019,12/10/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Wilbur-Ellis Holdings II, LLC",wilbur ellis,3,GREEN,0,1,1,1,"Wilbur-Ellis Holdings II, LLC",SLRC,SLR Capital Partners,Fertilizer & Agricultural Chemicals,10.011,10.011,0.0,6/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Lookout, Inc.",lookout,3,GREEN,0,1,1,1,"Lookout, Inc.",MFIC,"Apollo Investment Management, L.P.",Lookout,9.963,10.0,-0.0037,06/01/29,3.0,,False,,False,,2025-12-31,2025-12-31,1
Pro-PT,pro pt,3,GREEN,0,1,1,1,Pro-PT,GSBD,Goldman Sachs Asset Management,Health Care Providers & Services,9.893,9.623,0.0281,05/31/26,11.75,,False,,False,,2025-09-30,2025-12-31,2
Altitude II IRL WH Borrower DAC,altitude ii,3,GREEN,0,1,1,1,Altitude II IRL WH Borrower DAC,FSK,FS/KKR Advisor,Capital Goods,9.8,9.8,0.0,1/12/30,,,False,,False,,2025-09-30,2025-12-31,2
"All Star Recruiting Locums, LLC",all star,3,GREEN,0,1,1,1,"All Star Recruiting Locums, LLC",MFIC,"Apollo Investment Management, L.P.",All Star,9.68,9.856,-0.0179,05/01/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
"SEV Intermediate Holdco, LLC",sev,3,GREEN,0,1,1,1,"SEV Intermediate Holdco, LLC",MFIC,"Apollo Investment Management, L.P.",SEV,9.655,9.865,-0.0213,06/21/30,0.75,,False,,False,,2025-12-31,2025-12-31,1
Harri US LLC,harri us,3,GREEN,0,1,1,1,Harri US LLC,GBDC,GC Advisors,Healthcare Technology,9.649,7.149,0.3497,10/2021,,,False,,False,,2025-09-30,2025-12-31,2
Octagon Towers LLC,octagon towers,3,GREEN,0,1,1,1,Octagon Towers LLC,GSBD,Goldman Sachs Asset Management,Wireless Telecommunication Services,9.607,9.607,0.0,09/04/28,8.68,,False,,False,,2025-12-31,2025-12-31,1
Club Champion LLC,club champion,3,GREEN,0,1,1,1,Club Champion LLC,MFIC,"Apollo Investment Management, L.P.",Club Champion,9.568,9.689,-0.0125,06/14/29,0.75,,False,,False,,2025-12-31,2025-12-31,1
SkyZone,skyzone,3,GREEN,0,1,1,1,SkyZone,GSBD,Goldman Sachs Asset Management,Leisure Products,9.477,9.395,0.0087,07/18/28,10.67,,False,,False,,2025-09-30,2025-12-31,2
"OIS Management Services, LLC",ois management,3,GREEN,0,1,1,1,"OIS Management Services, LLC",SLRC,SLR Capital Partners,Health Care Providers & Services,9.368,9.462,-0.0099,10/2025,,,False,,False,,2025-12-31,2025-12-31,1
IBG Borrower LLC,ibg,3,GREEN,0,1,1,1,IBG Borrower LLC,MFIC,"Apollo Investment Management, L.P.",Iconix Brand Group,9.094,9.206,-0.0122,08/22/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Animal Supply Intermediate, LLC",animal supply,3,GREEN,0,1,1,1,"Animal Supply Intermediate, LLC",GSBD,Goldman Sachs Asset Management,Distributors,9.031,0.0,,11/14/25,,,False,,False,,2025-09-30,2025-12-31,2
"Origami Opportunities Fund III, L.P.",origami opportunities,3,GREEN,0,1,1,1,"Origami Opportunities Fund III, L.P.",MFIC,"Apollo Investment Management, L.P.",Origami Opportunities Fund III,9.007,9.091,-0.0092,10/25/27,2.0,,False,,False,,2025-12-31,2025-12-31,1
Texada Software LLC,texada software,3,GREEN,0,1,1,1,Texada Software LLC,MFIC,"Apollo Investment Management, L.P.",Texada,8.894,9.051,-0.0173,04/30/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
Trillium Health Care Products Inc.,trillium health,3,GREEN,0,1,1,1,Trillium Health Care Products Inc.,MFIC,"Apollo Investment Management, L.P.",Trillium,8.881,9.05,-0.0187,08/06/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
masLabor,maslabor,3,GREEN,0,1,1,1,masLabor,BCSF,Bain Capital Credit,Services: Business,8.801,8.428,0.0443,7/1/2027,7.5,,False,,False,,2025-09-30,2025-09-30,1
"Arrivia, Inc. (International Cruise & Excursion Gallery, Inc)",arrivia international,3,GREEN,0,1,1,1,"Arrivia, Inc. (International Cruise & Excursion Gallery, Inc)",MFIC,"Apollo Investment Management, L.P.",Guernsey,8.739,4.012,1.1782,12/31/28,1.0,,False,,False,,2025-12-31,2025-12-31,1
Ichor Management Limited,ichor management,3,GREEN,0,1,1,1,Ichor Management Limited,MFIC,"Apollo Investment Management, L.P.",Instem,8.719,8.883,-0.0185,12/08/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Towerco IV Holdings, LLC",towerco iv,3,GREEN,0,1,1,1,"Towerco IV Holdings, LLC",GSBD,Goldman Sachs Asset Management,Wireless Telecommunication Services,8.682,8.657,0.0029,08/31/28,7.88,,False,,False,,2025-09-30,2025-12-31,2
Bankers Healthcare Group LLC,bankers healthcare,3,GREEN,0,1,1,1,Bankers Healthcare Group LLC,FSK,FS/KKR Advisor,Financial Services,8.6,8.8,-0.0227,11/8/27,22.0,,False,,False,,2025-09-30,2025-12-31,2
"ASM Buyer, Inc.",asm,3,GREEN,0,1,1,1,"ASM Buyer, Inc.",GSBD,Goldman Sachs Asset Management,Commercial Services & Supplies,8.569,8.422,0.0175,08/22/30,10.01,,False,,False,,2025-09-30,2025-12-31,2
PARS Group LLC,pars group,3,GREEN,0,1,1,1,PARS Group LLC,MFIC,"Apollo Investment Management, L.P.",PARS Group LLC,8.555,8.636,-0.0094,04/03/28,1.5,,False,,False,,2025-12-31,2025-12-31,1
Snowbird Manager LP,snowbird manager,3,GREEN,0,1,1,1,Snowbird Manager LP,OBDC,Blue Owl Credit Advisors,Financial services,8.425,9.425,-0.1061,,,,False,,False,,2025-12-31,2025-12-31,1
Justin's LLC,justin s,3,GREEN,0,1,1,1,Justin's LLC,MFIC,"Apollo Investment Management, L.P.",Justin's,8.406,8.469,-0.0074,12/15/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Critical Start, Inc.",critical start,3,GREEN,0,1,1,1,"Critical Start, Inc.",GBDC,GC Advisors,IT Services,8.401,8.396,0.0006,05/2022,,,False,,False,,2025-09-30,2025-12-31,2
Paladone Group Bidco Limited,paladone group,3,GREEN,0,1,1,1,Paladone Group Bidco Limited,MFIC,"Apollo Investment Management, L.P.",Paladone,8.398,8.372,0.0031,11/12/27,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Relevant Industrial, LLC",relevant industrial,3,GREEN,0,1,1,1,"Relevant Industrial, LLC",MFIC,"Apollo Investment Management, L.P.",Relevant Industrial,8.37,8.512,-0.0167,05/16/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Jackmont Hospitality, Inc.",jackmont hospitality,3,GREEN,0,1,1,1,"Jackmont Hospitality, Inc.",MAIN,Main Street Capital (internal),,8.334,6.814,0.2231,11/4/2026,12.18,,False,,False,,2025-09-30,2025-12-31,2
"Easy Mile Fitness, LLC",easy mile,3,GREEN,0,1,1,1,"Easy Mile Fitness, LLC",GSBD,Goldman Sachs Asset Management,"Hotels, Restaurants & Leisure",8.282,8.3,-0.0022,09/12/29,11.09,,False,,False,,2025-09-30,2025-12-31,2
"Modigent, LLC (Pueblo)",modigent pueblo,3,GREEN,0,1,1,1,"Modigent, LLC (Pueblo)",TCPC,Tennenbaum Capital Partners (BlackRock),Commercial Services & Supplies,8.28,8.1259,0.019,8/23/2027,5.84,,False,,False,,2025-12-31,2025-12-31,1
"YTC Enterprises, LLC",ytc enterprises,3,GREEN,0,1,1,1,"YTC Enterprises, LLC",MFIC,"Apollo Investment Management, L.P.",Taco Cabana,8.223,8.233,-0.0012,08/16/26,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Airwavz Solutions, Inc.",airwavz solutions,3,GREEN,0,1,1,1,"Airwavz Solutions, Inc.",GSBD,Goldman Sachs Asset Management,Wireless Telecommunication Services,8.123,8.149,-0.0032,03/31/27,9.07,,False,,False,,2025-09-30,2025-12-31,2
Reaction Biology Corporation,reaction biology,3,GREEN,0,1,1,1,Reaction Biology Corporation,GBDC,GC Advisors,Life Sciences Tools & Services,8.1161,8.255,-0.0168,03/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Mesoblast, Inc.",mesoblast,3,GREEN,0,1,1,1,"Mesoblast, Inc.",OCSL,Oaktree Capital Management,Biotechnology,8.035,7.09,0.1333,11/19/2026,,,False,,False,,2025-09-30,2025-12-31,2
"Polaris Newco, LLC",polaris newco,3,GREEN,0,1,1,1,"Polaris Newco, LLC",MFIC,"Apollo Investment Management, L.P.",Solera,8.024,8.066,-0.0052,06/02/28,0.5,,False,,False,,2025-12-31,2025-12-31,1
"Collision SP Subco, LLC",collision sp,3,GREEN,0,1,1,1,"Collision SP Subco, LLC",GBDC,GC Advisors,Auto Components,7.89,7.987,-0.0121,,,,False,,False,,2025-09-30,2025-12-31,2
RHI Acquisition LLC,rhi,3,GREEN,0,1,1,1,RHI Acquisition LLC,MFIC,"Apollo Investment Management, L.P.",Definiti LLC,7.887,8.044,-0.0195,03/16/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
Titan Luxco I SARL,titan luxco,3,GREEN,0,1,1,1,Titan Luxco I SARL,MFIC,"Apollo Investment Management, L.P.",Project Titan,7.827,7.7,0.0165,06/12/31,0.75,,False,,False,,2025-12-31,2025-12-31,1
Brush Group Bidco Limited,brush group,3,GREEN,0,1,1,1,Brush Group Bidco Limited,MFIC,"Apollo Investment Management, L.P.",Brush Group,7.815,5.985,0.3058,07/30/31,0.0,,False,,False,,2025-12-31,2025-12-31,1
"EIS Acquisition Holdings, LP",eis,3,GREEN,0,1,1,1,"EIS Acquisition Holdings, LP",BXSL,Blackstone Credit Advisors,Distributors,7.796,3.35,1.3272,11/1/2021,,,False,,False,,2025-12-31,2025-12-31,1
Ultra Clean Holdco LLC,ultra clean,3,GREEN,0,1,1,1,Ultra Clean Holdco LLC,MFIC,"Apollo Investment Management, L.P.",Ultra Clean Newco,7.786,7.941,-0.0195,07/01/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
GI Apple Midco LLC,gi apple,3,GREEN,0,1,1,1,GI Apple Midco LLC,MFIC,"Apollo Investment Management, L.P.",Atlas Technical Consultants,7.714,7.815,-0.0129,04/19/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
USR Parent Inc.,usr,3,GREEN,0,1,1,1,USR Parent Inc.,CGBD,Carlyle Investment Management,Retail,7.578,7.613,-0.0046,4/25/2027,,,False,,False,,2025-09-30,2025-12-31,2
Mach Acquisition R/C,mach rc,3,GREEN,0,1,1,1,Mach Acquisition R/C,BCSF,Bain Capital Credit,Aerospace & Defense,7.49,7.532,-0.0056,10/19/2026,7.15,,False,,False,,2025-09-30,2025-09-30,1
CWC Fund I Co-Invest (ALTI) LP,cwc fund,3,GREEN,0,1,1,1,CWC Fund I Co-Invest (ALTI) LP,ARCC,Ares Capital Management,Investment Funds and Vehicles,7.4,6.3,0.1746,03/2024,,,False,,False,,2025-09-30,2025-12-31,2
Four Winds Interactive LLC,four winds,3,GREEN,0,1,1,1,Four Winds Interactive LLC,MFIC,"Apollo Investment Management, L.P.",New Relic,7.393,7.523,-0.0173,02/20/30,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Micross Topco, Inc.",micross,3,GREEN,0,1,1,1,"Micross Topco, Inc.",BXSL,Blackstone Credit Advisors,Aerospace & Defense,7.198,4.767,0.51,3/28/2022,,,False,,False,,2025-12-31,2025-12-31,1
ES Integrated,es integrated,3,GREEN,0,1,1,1,ES Integrated,GSBD,Goldman Sachs Asset Management,Commercial Services & Supplies,7.166,7.144,0.0031,09/24/31,8.47,,False,,False,,2025-09-30,2025-12-31,2
Chronicle Parent LLC,chronicle,3,GREEN,0,1,1,1,Chronicle Parent LLC,MFIC,"Apollo Investment Management, L.P.",Lexitas,7.111,7.184,-0.0102,04/15/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Mineola 212, LLC",mineola,3,GREEN,0,1,1,1,"Mineola 212, LLC",PNNT,PennantPark Investment Advisers,Buildings and Real Estate,7.018,7.0,0.0026,12/24/2025,,,False,,False,,2025-09-30,2025-12-31,2
Fusion Holding Corp. (Finalsite),fusion finalsite,3,GREEN,0,1,1,1,Fusion Holding Corp. (Finalsite),TCPC,Tennenbaum Capital Partners (BlackRock),Diversified Consumer Services,6.9756,7.067,-0.0129,9/15/2027,6.23,,False,,False,,2025-09-30,2025-12-31,2
"Roscoe Medical, Inc",roscoe medical,3,GREEN,0,1,1,1,"Roscoe Medical, Inc",MFIC,"Apollo Investment Management, L.P.",Compass Health,6.885,7.536,-0.0864,04/11/25,2.0,,False,,False,,2025-12-31,2025-12-31,1
"PCG-TAC-CV, LP",pcg tac,3,GREEN,0,1,1,1,"PCG-TAC-CV, LP",ARCC,Ares Capital Management,Investment Funds and Vehicles,6.8,0.0,,01/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Tarrytown Acquisition Holdings, LLC",tarrytown,3,GREEN,0,1,1,1,"Tarrytown Acquisition Holdings, LLC",MFIC,"Apollo Investment Management, L.P.",Tarrytown,6.784,6.818,-0.005,11/12/32,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Environmental Protection & Improvement Company, LLC",environmental protection,3,GREEN,0,1,1,1,"Environmental Protection & Improvement Company, LLC",SLRC,SLR Capital Partners,Ground Transportation,6.763,6.783,-0.0029,10/1/2027,8.25,,False,,False,,2025-09-30,2025-12-31,2
"DecisionHR Holdings, Inc.",decisionhr,3,GREEN,0,1,1,1,"DecisionHR Holdings, Inc.",MFIC,"Apollo Investment Management, L.P.",DecisionHR,6.741,6.809,-0.01,12/08/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
O6 Environmental,o6 environmental,3,GREEN,0,1,1,1,O6 Environmental,GSBD,Goldman Sachs Asset Management,Commercial Services & Supplies,6.705,6.696,0.0013,08/05/32,8.51,,False,,False,,2025-09-30,2025-12-31,2
"Sightly Enterprises, Inc.",sightly enterprises,3,GREEN,0,1,1,1,"Sightly Enterprises, Inc.",SLRC,SLR Capital Partners,Media,6.662,6.662,0.0,1/2024,,,False,,False,,2025-09-30,2025-12-31,2
Regis Corporation,regis,3,GREEN,0,1,1,1,Regis Corporation,MFIC,"Apollo Investment Management, L.P.",Regis,6.622,6.795,-0.0255,06/24/29,2.5,,False,,False,,2025-12-31,2025-12-31,1
"One Touch Direct, LLC",one touch,3,GREEN,0,1,1,1,"One Touch Direct, LLC",SLRC,SLR Capital Partners,Commercial Services & Supplies,6.486,6.486,0.0,12/1/2023,,,False,,False,,2025-09-30,2025-12-31,2
EG Global Finance PLC,eg global,3,GREEN,0,1,1,1,EG Global Finance PLC,MFIC,"Apollo Investment Management, L.P.",EG Group,6.398,6.267,0.0209,11/30/28,0.5,,False,,False,,2025-12-31,2025-12-31,1
Archer Technologies,archer technologies,3,GREEN,0,1,1,1,Archer Technologies,GSBD,Goldman Sachs Asset Management,Software,6.328,6.244,0.0135,07/01/30,9.36,,False,,False,,2025-09-30,2025-12-31,2
"Copper River Seafoods, Inc.",copper river,3,GREEN,0,1,1,1,"Copper River Seafoods, Inc.",SLRC,SLR Capital Partners,Food Products,6.285,6.285,0.0,12/1/2023,,,False,,False,,2025-09-30,2025-12-31,2
Bridge Capital Solutions Corporation,bridge capital,3,GREEN,0,1,1,1,Bridge Capital Solutions Corporation,MAIN,Main Street Capital (internal),,6.264,0.0,,7/25/2026,,,False,,False,,2025-09-30,2025-12-31,2
"AGDATA Midco, LLC",agdata,3,GREEN,0,1,1,1,"AGDATA Midco, LLC",MFIC,"Apollo Investment Management, L.P.",AGDATA,6.222,6.318,-0.0152,07/01/30,0.75,,False,,False,,2025-12-31,2025-12-31,1
Rooster BidCo Limited,rooster,3,GREEN,0,1,1,1,Rooster BidCo Limited,GBDC,GC Advisors,Healthcare Technology,6.17,6.372,-0.0317,03/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Evolv Technologies Holdings, Inc.",evolv technologies,3,GREEN,0,1,1,1,"Evolv Technologies Holdings, Inc.",MFIC,"Apollo Investment Management, L.P.",Evolv Technologies,5.944,6.0,-0.0093,07/01/30,2.0,,False,,False,,2025-12-31,2025-12-31,1
"Wall Street Prep, Inc.",wall street,3,GREEN,0,1,1,1,"Wall Street Prep, Inc.",MAIN,Main Street Capital (internal),,5.925,4.305,0.3763,7/19/2026,11.74,,False,,False,,2025-09-30,2025-12-31,2
"Halo Branded Solutions, Inc.",halo branded,3,GREEN,0,1,1,1,"Halo Branded Solutions, Inc.",GSBD,Goldman Sachs Asset Management,Commercial Services & Supplies,5.819,6.152,-0.0541,06/30/25,8.96,,False,,False,,2025-09-30,2025-12-31,2
"G & H Wire Company, Inc.",gh wire,3,GREEN,0,1,1,1,"G & H Wire Company, Inc.",GBDC,GC Advisors,Healthcare Equipment & Supplies,5.8021,5.961,-0.0267,11/2024,,,False,,False,,2025-09-30,2025-12-31,2
"Convenient Payments Acquisition, Inc.",convenient payments,3,GREEN,0,1,1,1,"Convenient Payments Acquisition, Inc.",GSBD,Goldman Sachs Asset Management,Software,5.686,5.699,-0.0023,12/31/26,9.73,,False,,False,,2025-09-30,2025-12-31,2
"Ortholite, LLC",ortholite,3,GREEN,0,1,1,1,"Ortholite, LLC",GSBD,Goldman Sachs Asset Management,"Textiles, Apparel & Luxury Goods",5.635,5.597,0.0068,09/29/27,10.58,,False,,False,,2025-09-30,2025-12-31,2
"Sherwood Management Co., Inc.",sherwood management,3,GREEN,0,1,1,1,"Sherwood Management Co., Inc.",SLRC,SLR Capital Partners,Specialty Retail,5.593,5.663,-0.0124,3/2025,,,False,,False,,2025-12-31,2025-12-31,1
"SEKO Global Logistics Network, LLC",seko global,3,GREEN,0,1,1,1,"SEKO Global Logistics Network, LLC",BXSL,Blackstone Credit Advisors,Air Freight & Logistics,5.529,5.51,0.0034,12/30/2026,,,False,,False,,2025-12-31,2025-12-31,1
"Highfive Dental Holdco, LLC",highfive dental,3,GREEN,0,1,1,1,"Highfive Dental Holdco, LLC",GSBD,Goldman Sachs Asset Management,Health Care Providers & Services,5.466,5.43,0.0066,06/13/28,10.39,,False,,False,,2025-09-30,2025-12-31,2
Office Ally,office ally,3,GREEN,0,1,1,1,Office Ally,GSBD,Goldman Sachs Asset Management,Health Care Technology,5.327,5.328,-0.0002,05/19/32,7.97,,False,,False,,2025-09-30,2025-12-31,2
"CRS Holdings, Inc.",crs,3,GREEN,0,1,1,1,"CRS Holdings, Inc.",MFIC,"Apollo Investment Management, L.P.",Core Roofing,5.289,5.407,-0.0218,06/06/30,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Flow Control Intermediate Holdings 2.0, LLC",flow control,3,GREEN,0,1,1,1,"Flow Control Intermediate Holdings 2.0, LLC",MFIC,"Apollo Investment Management, L.P.",Flow Control,5.234,5.307,-0.0138,05/01/31,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Pace Health Companies, LLC",pace health,3,GREEN,0,1,1,1,"Pace Health Companies, LLC",MFIC,"Apollo Investment Management, L.P.",RHA Health Services,5.204,5.227,-0.0044,08/02/27,1.0,,False,,False,,2025-12-31,2025-12-31,1
"Velocity One, LLC",velocity one,3,GREEN,0,1,1,1,"Velocity One, LLC",SLRC,SLR Capital Partners,Aerospace & Defense,5.191,5.25,-0.0112,6/2025,,,False,,False,,2025-09-30,2025-12-31,2
33Across Inc.,33across,3,GREEN,0,1,1,1,33Across Inc.,SLRC,SLR Capital Partners,Media,5.023,5.023,0.0,1/2024,,,False,,False,,2025-09-30,2025-12-31,2
CorroHealth,corrohealth,3,GREEN,0,1,1,1,CorroHealth,GSBD,Goldman Sachs Asset Management,Health Care Providers & Services,5.018,5.034,-0.0032,08/07/31,8.99,,False,,False,,2025-09-30,2025-12-31,2
BW ISO Acquisition LLC,bw iso,3,GREEN,0,1,1,1,BW ISO Acquisition LLC,MFIC,"Apollo Investment Management, L.P.",CQ Medical,4.942,4.988,-0.0092,11/01/27,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Accelerate360 Holdings, LLC",accelerate360,3,GREEN,0,1,1,1,"Accelerate360 Holdings, LLC",MFIC,"Apollo Investment Management, L.P.",Media,4.844,4.844,0.0,02/11/27,1.0,,False,,False,,2025-12-31,2025-12-31,1
Templafy APS,templafy aps,3,GREEN,0,1,1,1,Templafy APS,GBDC,GC Advisors,,4.79,4.882,-0.0188,07/2022,,,False,,False,,2025-09-30,2025-12-31,2
Win Brands Group LLC,win brands,3,GREEN,0,1,1,1,Win Brands Group LLC,OCSL,Oaktree Capital Management,Housewares & Specialties,4.758,5.22,-0.0885,1/23/2026,14.0,,False,,False,,2025-09-30,2025-12-31,2
"TLE Holdings, LLC",tle,3,GREEN,0,1,1,1,"TLE Holdings, LLC",TCPC,Tennenbaum Capital Partners (BlackRock),Professional Services,4.6922,4.5335,0.035,6/28/2026,5.6,,False,,False,,2025-12-31,2025-12-31,1
Air Methods Corporation,air methods,3,GREEN,0,1,1,1,Air Methods Corporation,SLRC,SLR Capital Partners,Passenger Airlines,4.566,4.596,-0.0065,11/2026,7.13,,False,,False,,2025-09-30,2025-12-31,2
"Mendocino Farms, LLC",mendocino farms,3,GREEN,0,1,1,1,"Mendocino Farms, LLC",GBDC,GC Advisors,Food & Staples Retailing,4.524,3.724,0.2148,06/2018,,,False,,False,,2025-09-30,2025-12-31,2
"Constellation Wealth Capital Fund, L.P.",constellation wealth,3,GREEN,0,1,1,1,"Constellation Wealth Capital Fund, L.P.",ARCC,Ares Capital Management,Investment Funds and Vehicles,4.5,4.1,0.0976,01/2024,,,False,,False,,2025-09-30,2025-12-31,2
"ITC Infusion Co-invest, LP",itc infusion,3,GREEN,0,1,1,1,"ITC Infusion Co-invest, LP",PNNT,PennantPark Investment Advisers,"Healthcare, Education and Childcare",4.419,1.673,1.6414,,,,False,,False,,2025-09-30,2025-12-31,2
"Health Management Associates Superholdings, Inc.",health management,3,GREEN,0,1,1,1,"Health Management Associates Superholdings, Inc.",MFIC,"Apollo Investment Management, L.P.",HMA,4.322,4.401,-0.018,03/30/29,1.0,,False,,False,,2025-12-31,2025-12-31,1
"KKR Rocket Loans Aggregator LLC, Partnership Interest",kkr rocket,3,GREEN,0,1,1,1,"KKR Rocket Loans Aggregator LLC, Partnership Interest",FSK,FS/KKR Advisor,Financial Services,4.302,4.9,-0.122,,,,False,,False,,2025-09-30,2025-12-31,2
EWC Growth Partners LLC,ewc growth,3,GREEN,0,1,1,1,EWC Growth Partners LLC,GBDC,GC Advisors,Diversified Consumer Services,4.264,4.253,0.0026,03/2020,,,False,,False,,2025-09-30,2025-12-31,2
iRobot Corporation,irobot,3,GREEN,0,1,1,1,iRobot Corporation,CGBD,Carlyle Investment Management,Consumer Goods: Durable,4.26,4.404,-0.0327,7/31/2026,,,False,,False,,2025-09-30,2025-12-31,2
Omega Fitness Holdings,omega fitness,3,GREEN,0,1,1,1,Omega Fitness Holdings,GSBD,Goldman Sachs Asset Management,"Hotels, Restaurants & Leisure",4.189,4.189,0.0,12/31/31,8.42,,False,,False,,2025-12-31,2025-12-31,1
"Megavolt Borrower, LLC",megavolt,3,GREEN,0,1,1,1,"Megavolt Borrower, LLC",MFIC,"Apollo Investment Management, L.P.",Dynagrid,4.071,4.146,-0.0181,02/13/32,1.0,,False,,False,,2025-12-31,2025-12-31,1
Berwick Industrial Park,berwick industrial,3,GREEN,0,1,1,1,Berwick Industrial Park,PNNT,PennantPark Investment Advisers,Buildings and Real Estate,4.016,4.0,0.004,05/02/2026,,,False,,False,,2025-09-30,2025-12-31,2
Flatworld Intermediate Corp,flatworld,3,GREEN,0,1,1,1,Flatworld Intermediate Corp,MFIC,"Apollo Investment Management, L.P.",Flatworld Solutions,3.881,3.95,-0.0175,03/25/30,1.5,,False,,False,,2025-12-31,2025-12-31,1
Celero Commerce LLC,celero commerce,3,GREEN,0,1,1,1,Celero Commerce LLC,GSBD,Goldman Sachs Asset Management,Financial Services,3.868,3.875,-0.0018,02/28/31,8.7,,False,,False,,2025-09-30,2025-12-31,2
Patriot MCN Buyer Corp.,patriot mcn,3,GREEN,0,1,1,1,Patriot MCN Buyer Corp.,MFIC,"Apollo Investment Management, L.P.",McNichols Company,3.826,3.873,-0.0121,10/01/31,1.75,,False,,False,,2025-12-31,2025-12-31,1
