Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"Riskonnect Parent, LLC",riskonnect,8,YELLOW,1,2,2,2,"Riskonnect Parent, LLC, Riskonnect Parent, LLC*","GBDC, MSDL","GC Advisors, Morgan Stanley Investment Management",,108.588,71.093,0.5274,11/2021,,,False,,False,,2025-09-30,2025-12-31,2
JHCC Holdings LLC*,jhcc,8,YELLOW,1,2,2,2,"JHCC Holdings LLC*, JHCC Holdings, LLC","BCSF, GBDC","Bain Capital Credit, GC Advisors",Automotive,101.785,101.899,-0.0011,9/9/2027,5.16,,False,,False,,2025-09-30,2025-12-31,2
Majesco,majesco,8,YELLOW,1,2,2,2,"Majesco, Majesco*","GBDC, MSDL","GC Advisors, Morgan Stanley Investment Management",Insurance,94.62,95.346,-0.0076,09/2020,,,False,,False,,2025-09-30,2025-12-31,2
"MDI Buyer, Inc.",mdi,8,YELLOW,1,2,2,1,"MDI Aggregator, LP, MDI Buyer, Inc.","PFLT, PNNT",PennantPark Investment Advisers,"Chemicals, Plastics and Rubber",72.885,81.739,-0.1083,07/25/28,8.76,,False,,False,,2025-09-30,2025-12-31,2
"Rosco Parent, LLC",rosco,8,YELLOW,1,2,2,1,"Rosco Parent, LLC, Rosco Topco, LLC","PFLT, PNNT",PennantPark Investment Advisers,Business Services,69.336,73.814,-0.0607,09/12/31,8.42,,False,,False,,2025-09-30,2025-12-31,2
"Megawatt Acquisitionco, Inc.",megawatt acquisitionco,8,YELLOW,1,2,2,1,"Megawatt Acquisition Partners, LLC, Megawatt Acquisitionco, Inc.","PFLT, PNNT",PennantPark Investment Advisers,Electronics,66.106,76.034,-0.1306,03/01/30,9.21,,False,,False,,2025-09-30,2025-12-31,2
PAS Parent Inc.*,pas,8,YELLOW,1,2,2,2,"PAS Parent Inc.*, PAS Parent, Inc.","BXSL, GBDC","Blackstone Credit Advisors, GC Advisors",Life Sciences Tools & Services,60.204,58.573,0.0278,12/2021,,,False,,False,,2025-09-30,2025-12-31,2
Telesoft Holdings LLC,telesoft,8,YELLOW,1,2,2,2,"Telesoft Holdings LLC, Telesoft Holdings LLC*","GBDC, MFIC","Apollo Investment Management, L.P., GC Advisors",Beeline,44.293,44.269,0.0005,12/16/26,1.0,,False,,False,,2025-09-30,2025-12-31,2
"Help/Systems Holdings, Inc.",help systems,8,YELLOW,1,2,2,2,"Help/Systems Holdings, Inc., Help/Systems Holdings, Inc. (Fortra LLC)","MSDL, PFLT","Morgan Stanley Investment Management, PennantPark Investment Advisers",Software,38.444,38.502,-0.0015,11/30/2026,,,False,,False,,2025-09-30,2025-12-31,2
"Emerald Technologies Acquisition Co, Inc.",emerald technologies,8,YELLOW,1,2,2,2,"Emerald Technologies (U.S.) AcquisitionCo, Inc., Emerald Technologies Acquisition Co, Inc.","MAIN, TCPC","Main Street Capital (internal), Tennenbaum Capital Partners (BlackRock)",Semiconductors and Semiconductor Equipment,29.6148,36.4254,-0.187,12/29/2026,8.61,,False,,False,,2025-09-30,2025-12-31,2
